# ----------- instrument configuration summary -----------
# operator: Jonathan Becker <jonathan.becker@wsi.tum.de>
# date: 21-Jun-2016 13:35:27
# 
# ------------ Device: Lockin_U -------------
# driver: egg_7265.mdd, Interface: VISA-GPIB0-3
# Model: 7260
# bandwidth = 2.395000e-02
# current_noise = 1.037400e-03
# filt_slope = 24db/octace
# filt_syncTC = 1
# integration_done = 0
# mode = Signal Recovery
# osc_amplitude = 1
# osc_freq = 15111
# range = 2mV
# range_numeric = 2.000000e-03
# ref_freq_meter = 150977
# ref_harmonic = 1
# ref_input = rear (external)
# ref_mode = Single Reference / Virtual Reference
# ref_phase = 0
# sig_acgain = 1
# sig_acgain_auto = 0
# sig_coupling = AC
# sig_fet = bipolar
# sig_float = 0
# sig_imode = off
# sig_linefilter = off
# sig_sample_rate = 0
# sig_vmode = A
# timeconstant = 5
# 
# ------------ Device: Lockin_Uh -------------
# driver: egg_7265.mdd, Interface: VISA-GPIB0-2
# Model: 7260
# bandwidth = 2.395000e-02
# current_noise = 0
# filt_slope = 24db/octace
# filt_syncTC = 1
# integration_done = 0
# mode = Signal Recovery
# osc_amplitude = 5
# osc_freq = 151
# range = 10mV
# range_numeric = 1.000000e-02
# ref_freq_meter = 151000
# ref_harmonic = 1
# ref_input = internal
# ref_mode = Single Reference / Virtual Reference
# ref_phase = 0
# sig_acgain = 0
# sig_acgain_auto = 0
# sig_coupling = AC
# sig_fet = fet
# sig_float = 0
# sig_imode = off
# sig_linefilter = off
# sig_sample_rate = 0
# sig_vmode = A
# timeconstant = 5
# 
# ------------ Device: Magnet -------------
# driver: lakeshore_625.mdd, Interface: VISA-GPIB0-22
# Model: LSCI,MODEL625,6251105,1.0/1.0
# current_B = 1.200000e-04
# current_I = 1.300000e-03
# current_V = 0
# current_remoteV = -4.000000e-04
# is_ramping = 0
# limit_current = 60
# limit_rate = 2.208000e-01
# limit_voltage = 1
# quench_parameter = 1,+2.0000
# rate = 2.208000e-01
# remote = Remote
# setB = 1.000000e-05
# setI = 1.000000e-04
# setV = 1
#
#
#--------------------------------------------------
# B	U	Uh	
# T	V	V	
# Magnet	Lockin_U	Lockin_Uh	
#--------------------------------------------------
#2
0	4.7878e-05	3e-07
0.001	4.7874e-05	3e-07
0.002	4.7858e-05	3e-07
0.003	4.7834e-05	4e-07
0.004	4.783e-05	7e-07
0.005	4.7856e-05	1.3e-06
0.006	4.7872e-05	1.9e-06
0.007	4.7884e-05	2.5e-06
0.008	4.79e-05	3.1e-06
0.009	4.7906e-05	3.7e-06
0.01	4.7906e-05	4.4e-06
0.011	4.7922e-05	5e-06
0.012	4.7944e-05	5.7e-06
0.013	4.7956e-05	6.3e-06
0.014	4.7934e-05	6.9e-06
0.015	4.789e-05	7.5e-06
0.016	4.7862e-05	8.1e-06
0.017	4.7864e-05	8.7e-06
0.018	4.7892e-05	9.3e-06
0.019	4.792e-05	9.9e-06
0.02	4.7944e-05	1.05e-05
0.021	4.797e-05	1.11e-05
0.022	4.798e-05	1.17e-05
0.023	4.7966e-05	1.23e-05
0.024	4.7938e-05	1.3e-05
0.025	4.793e-05	1.37e-05
0.026	4.7956e-05	1.43e-05
0.027	4.7972e-05	1.49e-05
0.028	4.7946e-05	1.56e-05
0.029	4.7924e-05	1.62e-05
0.03	4.7932e-05	1.68e-05
0.031	4.7922e-05	1.74e-05
0.032	4.7896e-05	1.8e-05
0.033	4.788e-05	1.86e-05
0.034	4.7872e-05	1.93e-05
0.035	4.7868e-05	2e-05
0.036	4.7856e-05	2.06e-05
0.037	4.7846e-05	2.12e-05
0.038	4.7846e-05	2.18e-05
0.039	4.7862e-05	2.25e-05
0.04	4.7898e-05	2.31e-05
0.041	4.7906e-05	2.38e-05
0.042	4.785e-05	2.44e-05
0.043	4.7776e-05	2.5e-05
0.044	4.7768e-05	2.57e-05
0.045	4.782e-05	2.63e-05
0.046	4.7856e-05	2.69e-05
0.047	4.7838e-05	2.76e-05
0.048	4.7804e-05	2.83e-05
0.049	4.7782e-05	2.89e-05
0.05	4.7748e-05	2.95e-05
0.051	4.7712e-05	3.02e-05
0.052	4.7698e-05	3.08e-05
0.053	4.7718e-05	3.15e-05
0.054	4.777e-05	3.21e-05
0.055	4.7814e-05	3.28e-05
0.056	4.7818e-05	3.34e-05
0.057	4.7814e-05	3.41e-05
0.058	4.7818e-05	3.47e-05
